v0,vPrice,vMomEd,vHHsmokes,vGrade9p,vBlack,hh,phi1,phi2
0.17145681990786216,-0.0017191405512826526,-0.041473013724988655,0.11442461799827433,0.1386107860355888,-0.2454675680014113,0.06867300034239536,0.042059079422554206,0.037961013711513086
0.16640041987825208,-0.0020369033451280052,-0.04119331149231102,0.14408336195930152,0.1551780823330262,-0.3029940973704985,0.059504476826464175,0.038184854231270896,0.03218649293205522
0.15937146783635847,-0.0009512672165620726,-0.05960299967991324,0.11229930936165873,0.1240769715225974,-0.26763605143156194,0.08297537007043625,0.047403225547412164,0.034269363452329324
0.15747860334069672,-0.001173675374707175,-0.04493823555448685,0.12276684407821982,0.14694378609671105,-0.2876122280373977,0.07005244311087272,0.033408506724462494,0.029292962572509827
0.16741008217334094,-0.0023560592267619514,-0.0365157266966855,0.1366441075949356,0.14552954555580766,-0.3100096804902936,0.055069944900356084,0.04181934988605943,0.03163871833989413
0.14087464396557894,-0.0011407049066381365,-0.03860016574959056,0.12216494363280925,0.2231563325357756,-0.31784500562552764,0.03336065297079701,0.04781568636681994,0.02963489773500941
0.1729121672953013,-0.000777119327984364,-0.04276677866376191,0.11714230595370255,0.14228679841657765,-0.2646242696265906,0.07112614597714101,0.03861829759462065,0.03646871483677226
0.1864342225963915,-0.0022009652999500314,-0.07263133718693501,0.1602950458988553,0.12626180860787595,-0.34810813282563596,0.0701304655519264,0.049510825869629994,0.032453623212022976
0.19503843440726787,-0.0030602362139385817,-0.05164124388510838,0.13736728624778946,0.13935519194802734,-0.28957004680805964,0.0485005433184966,0.046384535106711165,0.031913974622634865
0.13867475298832166,-0.0012319254981151535,-0.038674735466767994,0.13834750939152907,0.214436990602924,-0.315438127856336,0.038003373646325625,0.04799682976704255,0.029214572750678836
0.16868120400514394,-0.003491897954289694,-0.04242255214084288,0.13566304683924646,0.16971105228181746,-0.3146817143554781,0.05117529347978054,0.04106497190776155,0.03266494149248007
0.16904631125869282,-0.00037970299920306164,-0.050544376122614885,0.11273495935701768,0.15218528610446272,-0.2862821552897877,0.07172823594241982,0.05146702708333147,0.04118243018469889
0.16876005685707088,-0.003149757932402037,-0.0429791265739595,0.12285787007781845,0.1374499394710233,-0.3225904976160063,0.06484954610998853,0.050175581803718526,0.037845923816748214
0.1745206314336996,-0.00205829024723342,-0.05200847970058428,0.1294925330492446,0.1442211147352404,-0.3243050340931999,0.062337493727330974,0.04024260663763042,0.026941464190860614
0.1609208392717121,-0.0020443527824257762,-0.04668720775784431,0.12529694374366807,0.14475015559550072,-0.3092872295808625,0.06783398318824263,0.04257776342684691,0.03539070380627605
0.1832395834482773,-0.0026948350415635317,-0.05527872803445148,0.11997402438877985,0.1240857390347224,-0.3110382571677168,0.07315115566920488,0.04109532057140112,0.03197743664005129
0.17471598242396905,-0.0013069753489996607,-0.05423188168633453,0.14692183162744735,0.16770494564703242,-0.3285624181393016,0.05561506830235493,0.04345299377801914,0.03261680512285934
0.17279356843602722,-0.006738862251716428,-0.04419516933684997,0.16851743102504724,0.16314341917980613,-0.2742009320531682,0.0389201764287661,0.050847608803768735,0.03318642806626381
0.17706596396386393,-0.002839911887448889,-0.05401838615740826,0.13082250989772606,0.12194032473407355,-0.2985102729909373,0.0686462800343545,0.044413119019325965,0.02766875604186969
